Season Year,Week Number,Home Owner,Home Team,Home Score,Away Owner,Away Team,Away Score
2022,15,Boaz,No I’m gonna win UR gay,151.34,Cooper,coop’s shit,169.89
2022,16,Dylan,The Dawn of Man-Ape,128.67,Dustin,Let’s Ride 😤,119.8
2022,16,Phillip,Ho Chi Win City,139.61,Trace,Gl Hf (you’re gay),162.2
2022,16,Casey,The Mr. Unlimited’s,136.92,Mike,Ouchie,179.28
2022,16,Ryan,Rats!,113.35,Cooper,coop’s shit,136.63
2022,16,Boaz,No I’m gonna win UR gay,157.31,Jasper,Blue's Balls,131.71
2022,17,Dylan,The Dawn of Man-Ape,110.76,Mike,Ouchie,92.47
2022,17,Phillip,Ho Chi Win City,150.87,Ryan,Rats!,158.75
2022,17,Trace,Gl Hf (you’re gay),124.2,Cooper,coop’s shit,120.46
2022,17,Casey,The Mr. Unlimited’s,125.25,Dustin,Let’s Ride 😤,115.88
2023,1,Dylan,Zaza Zealots,97.94,Ryan,Trilobite Terror,116.81
2023,1,Phillip,Ho Chi Win City,158.31,Mike,Justin Time,104.68
2023,1,Trace,Gl Hf (you’re gay),94.97,Casey,Awesome Baller-Winners,93.38
2023,1,Boaz,No I’m gonna win UR gay,149.25,Nick,nick's Great Team,151.74
2023,1,Dustin,Dusty Dynasty 🏆,104.13,Cooper,coop’s shit,115.14
2023,1,Jasper,Blue's Balls,126.3,Torin,Can I Hit Your Vape?,107.38
2023,2,Dylan,Zaza Zealots,89.36,Casey,Awesome Baller-Winners,152.69
2023,2,Phillip,Ho Chi Win City,130.15,Trace,Gl Hf (you’re gay),129.48
2023,2,Mike,Justin Time,137.48,Ryan,Trilobite Terror,119.48
2023,2,Boaz,No I’m gonna win UR gay,116.12,Jasper,Blue's Balls,159.24
2023,2,Dustin,Dusty Dynasty 🏆,118.87,Torin,Can I Hit Your Vape?,121.11
2023,2,Cooper,coop’s shit,143.88,Nick,nick's Great Team,97.83
2023,3,Dylan,Zaza Zealots,158.3,Trace,Gl Hf (you’re gay),162.52
2023,3,Phillip,Ho Chi Win City,136.69,Ryan,Trilobite Terror,131.95
2023,3,Casey,Awesome Baller-Winners,99.81,Mike,Justin Time,178.43
2023,3,Boaz,No I’m gonna win UR gay,160.4,Cooper,coop’s shit,155.47
2023,3,Dustin,Dusty Dynasty 🏆,156.02,Jasper,Blue's Balls,149.34
2023,3,Torin,Can I Hit Your Vape?,119.67,Nick,nick's Great Team,71.41
2023,4,Dylan,Zaza Zealots,120.03,Mike,Justin Time,143.93
2023,4,Phillip,Ho Chi Win City,122.14,Casey,Awesome Baller-Winners,151.48
2023,4,Trace,Gl Hf (you’re gay),84.29,Ryan,Trilobite Terror,95.5
2023,4,Boaz,No I’m gonna win UR gay,117.15,Dustin,Dusty Dynasty 🏆,170.2
2023,4,Cooper,coop’s shit,87.16,Torin,Can I Hit Your Vape?,112.34
2023,4,Jasper,Blue's Balls,151.23,Nick,nick's Great Team,122.25
2023,5,Dylan,Zaza Zealots,247.56,Phillip,Ho Chi Win City,141.1
2023,5,Trace,Gl Hf (you’re gay),145.57,Mike,Justin Time,154.19
2023,5,Casey,Awesome Baller-Winners,99.51,Ryan,Trilobite Terror,144.66
2023,5,Boaz,No I’m gonna win UR gay,117.75,Torin,Can I Hit Your Vape?,104.79
2023,5,Dustin,Dusty Dynasty 🏆,135.07,Nick,nick's Great Team,81.95
2023,5,Cooper,coop’s shit,105.93,Jasper,Blue's Balls,126.41
2023,6,Dylan,Zaza Zealots,119.06,Dustin,Dusty Dynasty 🏆,125.23
2023,6,Phillip,Ho Chi Win City,143.92,Torin,Can I Hit Your Vape?,110.78
2023,6,Trace,Gl Hf (you’re gay),111.36,Nick,nick's Great Team,112.94
2023,6,Casey,Awesome Baller-Winners,133.7,Boaz,No I’m gonna win UR gay,158.72
2023,6,Mike,Justin Time,130.69,Jasper,Blue's Balls,123.46
2023,6,Ryan,Trilobite Terror,103.29,Cooper,coop’s shit,123.83
2023,7,Dylan,Zaza Zealots,164.16,Nick,nick's Great Team,99.09
2023,7,Phillip,Ho Chi Win City,174.9,Boaz,No I’m gonna win UR gay,101.43
2023,7,Trace,Gl Hf (you’re gay),109.53,Jasper,Blue's Balls,151.84
2023,7,Casey,Awesome Baller-Winners,138.98,Cooper,coop’s shit,134.43
2023,7,Mike,Justin Time,89.83,Dustin,Dusty Dynasty 🏆,160.01
2023,7,Ryan,Trilobite Terror,106.82,Torin,Can I Hit Your Vape?,147.87
2023,8,Dylan,Zaza Zealots,162.23,Boaz,No I’m gonna win UR gay,151.23
2023,8,Phillip,Ho Chi Win City,149.45,Dustin,Dusty Dynasty 🏆,178.98
2023,8,Trace,Gl Hf (you’re gay),118.62,Cooper,coop’s shit,115.87
2023,8,Casey,Awesome Baller-Winners,148.92,Torin,Can I Hit Your Vape?,114.62
2023,8,Mike,Justin Time,152.61,Nick,nick's Great Team,125.01
2023,8,Ryan,Trilobite Terror,139.11,Jasper,Blue's Balls,148.13
2023,9,Dylan,Zaza Zealots,108.56,Torin,Can I Hit Your Vape?,101.18
2023,9,Phillip,Ho Chi Win City,113.7,Nick,nick's Great Team,107.02
2023,9,Trace,Gl Hf (you’re gay),111.9,Dustin,Dusty Dynasty 🏆,116.74
2023,9,Casey,Awesome Baller-Winners,130.65,Jasper,Blue's Balls,124.96
2023,9,Mike,Justin Time,127.02,Cooper,coop’s shit,78.76
2023,9,Ryan,Trilobite Terror,96.55,Boaz,No I’m gonna win UR gay,171.26
2023,10,Dylan,Zaza Zealots,110.43,Jasper,Blue's Balls,146.95
2023,10,Phillip,Ho Chi Win City,116.86,Cooper,coop’s shit,112.44
2023,10,Trace,Gl Hf (you’re gay),144.18,Torin,Can I Hit Your Vape?,116.66
2023,10,Casey,Awesome Baller-Winners,116.51,Dustin,Dusty Dynasty 🏆,200.36
2023,10,Mike,Justin Time,159.15,Boaz,No I’m gonna win UR gay,124.62
2023,10,Ryan,Trilobite Terror,159.39,Nick,nick's Great Team,104.46
2023,11,Dylan,Zaza Zealots,123.28,Cooper,coop’s shit,106.99
2023,11,Phillip,Ho Chi Win City,158.72,Jasper,Blue's Balls,111.13
2023,11,Trace,Gl Hf (you’re gay),98.31,Boaz,No I’m gonna win UR gay,126.13
2023,11,Casey,Awesome Baller-Winners,114.86,Nick,nick's Great Team,156.04
2023,11,Mike,Justin Time,145.79,Torin,Can I Hit Your Vape?,113.47
2023,11,Ryan,Trilobite Terror,161.23,Dustin,Dusty Dynasty 🏆,125.74
2023,12,Dylan,Zaza Zealots,118.19,Ryan,Trilobite Terror,154.18
2023,12,Phillip,Ho Chi Win City,147.83,Mike,Justin Time,117.98
2023,12,Trace,Gl Hf (you’re gay),102.92,Casey,Awesome Baller-Winners,142.99
2023,12,Boaz,No I’m gonna win UR gay,131.88,Nick,nick's Great Team,156.73
2023,12,Dustin,Dusty Dynasty 🏆,178.36,Cooper,coop’s shit,92.33
2023,12,Jasper,Blue's Balls,193.14,Torin,Can I Hit Your Vape?,116.01
2023,13,Dylan,Zaza Zealots,115.07,Casey,Awesome Baller-Winners,124.3
2023,13,Phillip,Ho Chi Win City,142.5,Trace,Gl Hf (you’re gay),99.91
2023,13,Mike,Justin Time,153.03,Ryan,Trilobite Terror,97.73
